Date, Close/Last, Volume, Open, High, Low
2017-11-27,54.6,3129090,55.14,55.23,54.49
2017-11-24,55.14,1374039,55.03,55.33,54.93
2017-11-22,55.09,3257966,55.28,55.55,54.92
2017-11-21,55.43,3999603,54.66,55.48,54.61
2017-11-20,54.65,4081890,54.85,54.92,54.2
2017-11-17,54.71,3104573,55.01,55.17,54.3
2017-11-16,55.27,4534033,55.02,55.5,54.65
2017-11-15,54.63,4709559,53.65,54.8,53.0
2017-11-14,53.75,3061323,52.96,53.85,52.92
2017-11-13,53.25,2982017,53.38,53.48,52.78
2017-11-10,53.49,2484815,53.4,53.74,53.24
2017-11-09,53.46,3896598,53.72,54.1399,53.27
2017-11-08,54.01,3093445,53.74,54.37,53.46
2017-11-07,53.87,3256522,54.6,54.6,53.8
2017-11-06,54.52,3693732,54.09,55.15,54.09
2017-11-03,54.14,3057635,53.99,54.245,53.6075
2017-11-02,53.99,3078237,54.0,54.09,53.45
2017-11-01,53.99,4230066,54.03,54.46,53.54
2017-10-31,53.86,4230015,54.66,54.66,53.83
2017-10-30,54.73,4518764,54.04,55.1,53.78
2017-10-27,54.11,8993898,55.13,55.53,53.54
2017-10-26,55.11,14321500,57.42,58.72,54.19
2017-10-25,57.16,10575300,58.82,58.82,56.46
2017-10-24,58.8,4278211,58.84,59.1,58.34
2017-10-23,58.76,4579835,59.5,59.89,58.57
2017-10-20,59.37,4905769,58.83,59.54,58.81
2017-10-19,58.63,5943003,58.45,59.09,57.45
2017-10-18,58.83,2580754,58.72,58.9869,58.54
2017-10-17,58.73,3671830,59.0,59.81,58.64
2017-10-16,58.88,4837335,58.95,59.18,58.49
2017-10-13,59.12,3138670,58.83,59.155,58.51
2017-10-12,58.81,3538135,58.78,59.4,58.59
2017-10-11,58.55,4194059,58.01,58.8,58.01
2017-10-10,58.01,5023028,58.73,59.18,57.9
2017-10-09,57.66,3785965,58.5,58.84,57.39
2017-10-06,58.44,3962580,58.16,59.45,57.99
2017-10-05,58.29,3703884,58.5,58.5,57.82
2017-10-04,58.38,6433461,58.51,59.57,58.34
2017-10-03,58.51,7541542,55.94,58.555,55.8
2017-10-02,55.99,4313212,56.02,56.27,55.6
2017-09-29,55.98,3744322,56.21,56.65,55.87
2017-09-28,56.17,5718295,55.8,56.49,55.6
2017-09-27,55.88,7005957,55.99,56.5611,55.37
2017-09-26,55.72,4107863,55.39,55.96,55.1
2017-09-25,55.12,3495840,54.84,55.2158,54.425
2017-09-22,54.93,3052408,54.64,55.03,54.2401
2017-09-21,54.63,3267767,54.16,54.77,53.71
2017-09-20,54.25,4609053,53.91,54.28,53.43
2017-09-19,53.54,4661928,54.02,54.53,53.435
2017-09-18,54.09,6110429,54.82,54.94,53.8534
2017-09-15,54.72,14546230,54.44,54.75,53.81
2017-09-14,54.35,7718975,54.48,54.83,54.1353
2017-09-13,54.66,5924449,53.98,54.71,53.65
2017-09-12,53.95,5404356,53.5,54.01,53.12
2017-09-11,53.6,8025575,53.39,53.69,52.45
2017-09-08,52.87,5059148,52.01,53.025,51.88
